,cust_number,buisness_year,doc_id,converted_usd,business_code_enc,name_customer_enc,cust_payment_terms_enc,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_createdate,month_of_createdate,year_of_createdate,day_of_due,month_of_due,year_of_due,clear_date,Aging Bucket
0,140105686,2020.0,2960623488.0,2309.7899999999995,66,2714,5,30,3,2020,31,3,2020,10,4,2020,1970-01-10 01:34:35.312500010,0-15
1,200744019,2020.0,1930659387.0,11173.02,66,2798,18,19,3,2020,19,3,2020,3,4,2020,1970-01-04 10:43:01.875000003,0-15
2,200418007,2020.0,1930610806.0,3525.59,66,89,18,11,3,2020,11,3,2020,26,3,2020,1970-01-06 17:35:12.125000026,0-15
3,200739534,2020.0,1930788296.0,121105.65,66,2043,18,15,4,2020,15,4,2020,30,4,2020,1970-01-02 06:27:06.640625030,0-15
4,200353024,2020.0,1930817482.0,3726.06,66,733,34,23,4,2020,16,4,2020,26,4,2020,1969-12-28 09:40:00.281250026,
5,200744019,2020.0,1930676042.0,5893.01,66,2789,18,21,3,2020,21,3,2020,5,4,2020,1970-01-02 18:22:59.296875005,0-15
6,140106408,2020.0,2960618790.0,64982.589,66,2987,5,6,3,2020,6,3,2020,16,3,2020,1970-01-13 11:15:17.750000016,0-15
7,200337148,2020.0,1930592246.0,11380.83,66,571,18,2,3,2020,2,3,2020,17,3,2020,1969-12-31 21:32:46.879882829,
8,200794332,2020.0,1930731070.0,3863.93,66,626,20,7,4,2020,7,4,2020,22,4,2020,1969-12-31 20:49:41.123046897,
9,200794332,2020.0,1930803605.0,74453.01,66,632,20,23,4,2020,23,4,2020,8,5,2020,1969-12-31 20:11:50.710937508,
10,200803720,2020.0,1930698352.0,138.6,66,721,36,25,3,2020,16,3,2020,8,4,2020,1969-12-28 19:23:48.437500008,
11,200794332,2020.0,1930647189.0,32715.47,66,627,20,13,3,2020,13,3,2020,28,3,2020,1969-12-31 20:49:41.123046903,
12,200020431,2020.0,1930861637.0,174.72,66,728,36,6,5,2020,1,5,2020,24,5,2020,1969-12-28 08:18:08.218750024,
13,200769623,2020.0,1930635649.0,767.78,66,2996,32,12,3,2020,12,3,2020,27,3,2020,1970-01-02 17:04:02.656250027,0-15
14,140105785,2020.0,2960624627.0,1980.7199999999998,66,2497,5,27,3,2020,31,3,2020,10,4,2020,1970-01-09 14:21:58.375000010,0-15
15,200769623,2020.0,1930577078.0,14514.68,66,2995,32,28,2,2020,28,2,2020,14,3,2020,1970-01-02 17:04:02.656250014,0-15
16,200769623,2020.0,1930774741.0,55400.31,66,3000,32,10,4,2020,10,4,2020,25,4,2020,1970-01-02 16:26:12.234375025,0-15
17,200772670,2020.0,1930765053.0,174766.36,66,187,46,9,4,2020,9,4,2020,24,4,2020,1970-01-02 04:50:41.148437524,0-15
18,200900909,2020.0,1930645969.0,31512.75,66,2767,11,13,3,2020,13,3,2020,14,4,2020,1970-01-02 21:15:17.718750014,0-15
19,200769623,2020.0,1930718081.0,19701.55,66,3003,32,30,3,2020,30,3,2020,14,4,2020,1970-01-02 17:04:02.656250014,0-15
20,200726979,2020.0,1930788667.0,132.72,66,333,18,16,4,2020,16,4,2020,1,5,2020,1970-01-02 02:45:24.757812501,0-15
21,200769623,2020.0,1930709919.0,1121.15,66,3002,32,29,3,2020,29,3,2020,13,4,2020,1970-01-02 17:04:02.656250013,0-15
22,200769623,2020.0,1930752568.0,11394.84,66,3002,32,6,4,2020,6,4,2020,21,4,2020,1970-01-02 17:04:02.656250021,0-15
23,140105847,2020.0,2960627274.0,2579.64,66,1138,5,8,4,2020,8,4,2020,18,4,2020,1970-01-08 09:11:01.062500018,0-15
24,200744019,2020.0,1930648342.0,52123.3,66,2793,18,15,3,2020,15,3,2020,30,3,2020,1970-01-04 10:05:11.468750030,0-15
25,200769623,2020.0,1930632791.0,14994.01,66,3003,32,10,3,2020,10,3,2020,25,3,2020,1970-01-02 17:04:02.656250025,0-15
26,200769623,2020.0,1930617194.0,36.06,66,3002,32,6,3,2020,6,3,2020,21,3,2020,1970-01-02 17:49:32.875000021,0-15
27,200418007,2020.0,1930752243.0,25836.19,66,95,18,6,4,2020,6,4,2020,21,4,2020,1970-01-06 17:35:12.125000021,0-15
28,200739006,2020.0,1930768064.0,4309.05,66,53,18,15,4,2020,15,4,2020,30,4,2020,1970-01-07 07:46:51.812500030,0-15
29,100031704,2020.0,1930789873.0,70181.07,66,747,18,15,4,2020,15,4,2020,30,4,2020,1970-01-01 03:05:14.264648468,0-15
30,200769623,2020.0,1930705172.0,3403.8,66,3004,32,28,3,2020,28,3,2020,12,4,2020,1970-01-02 17:04:02.656250012,0-15
31,200744019,2020.0,1930620634.0,10665.53,66,2796,31,10,3,2020,10,3,2020,14,5,2020,1970-01-03 11:06:38.484375014,0-15
32,200769623,2020.0,1930676002.0,7280.51,66,2995,32,21,3,2020,21,3,2020,5,4,2020,1970-01-02 17:04:02.656250005,0-15
33,200726979,2020.0,1930585378.0,13681.7,66,328,18,2,3,2020,2,3,2020,17,3,2020,1970-01-02 02:45:24.757812517,0-15
34,200706844,2020.0,1930773419.0,33947.85,66,3061,18,7,4,2020,7,4,2020,22,4,2020,1970-01-09 05:06:09.875000022,0-15
35,200793830,2020.0,1930767747.0,4537.14,66,1718,18,8,4,2020,8,4,2020,23,4,2020,1970-01-02 06:52:52.710937523,0-15
36,200769623,2020.0,1930750455.0,14355.96,66,3000,32,6,4,2020,6,4,2020,21,4,2020,1970-01-02 17:04:02.656250021,0-15
37,200769623,2020.0,1930738904.0,367.71,66,3003,32,3,4,2020,3,4,2020,18,4,2020,1970-01-02 17:04:02.656250018,0-15
38,200769623,2020.0,1930862467.0,56284.77,66,3004,32,6,5,2020,6,5,2020,21,5,2020,1970-01-02 16:26:12.234375021,0-15
39,200769623,2020.0,1930582162.0,50493.86,66,3003,32,29,2,2020,29,2,2020,15,3,2020,1970-01-02 16:26:12.234375015,0-15
40,200769623,2020.0,1930802490.0,15489.43,66,3002,32,21,4,2020,21,4,2020,6,5,2020,1970-01-02 17:04:02.656250006,0-15
41,140104423,2020.0,2960617050.0,93179.35199999998,66,1900,5,27,2,2020,1,3,2020,11,3,2020,1970-01-06 05:29:31.875000011,0-15
42,200726979,2020.0,1930801417.0,360.33,66,332,18,19,4,2020,19,4,2020,4,5,2020,1970-01-02 02:45:24.757812504,0-15
43,200743996,2020.0,1930660304.0,3826.03,66,2622,31,16,3,2020,16,3,2020,20,5,2020,1970-01-01 18:46:35.968750020,0-15
44,200752302,2020.0,1930733767.0,96674.05,66,1589,18,2,4,2020,2,4,2020,17,4,2020,1970-01-02 02:40:05.851562517,0-15
45,140105686,2020.0,2960633120.0,43230.299,66,2714,5,6,5,2020,8,5,2020,18,5,2020,1970-01-10 01:34:35.312500018,0-15
46,200711029,2020.0,1930742932.0,14382.22,66,3027,18,3,4,2020,3,4,2020,18,4,2020,1970-01-09 05:06:09.875000018,0-15
47,2001,2020.0,2960622220.0,17828.068999999996,66,1522,30,20,3,2020,23,3,2020,27,4,2020,1970-01-11 09:34:55.437500027,0-15
48,200769623,2020.0,1930804924.0,35509.95,66,3002,32,21,4,2020,21,4,2020,6,5,2020,1970-01-02 17:04:02.656250006,0-15
49,200769623,2020.0,1930746955.0,13512.61,66,2996,32,5,4,2020,5,4,2020,20,4,2020,1970-01-02 17:04:02.656250020,0-15
50,200772670,2020.0,1930698156.0,24421.33,66,186,46,24,3,2020,24,3,2020,8,4,2020,1970-01-02 05:28:31.546875008,0-15
51,200769623,2020.0,1930801200.0,11217.33,66,2997,32,19,4,2020,19,4,2020,4,5,2020,1970-01-02 17:04:02.656250004,0-15
52,200769623,2020.0,1930776682.0,12554.13,66,3003,32,13,4,2020,13,4,2020,28,4,2020,1970-01-02 17:04:02.656250028,0-15
53,200720238,2020.0,1930858727.0,126919.03,66,2919,18,6,5,2020,6,5,2020,21,5,2020,1970-01-05 06:29:56.937500021,0-15
54,140106408,2020.0,2960631200.0,28537.684,66,2990,5,25,4,2020,25,4,2020,5,5,2020,1970-01-13 11:53:08.125000005,0-15
55,200769623,2020.0,1930729999.0,24834.9,66,2997,32,1,4,2020,1,4,2020,16,4,2020,1970-01-02 15:42:10.593750016,0-15
56,200769623,2020.0,1930653060.0,50202.83,66,3005,32,15,3,2020,15,3,2020,30,3,2020,1970-01-02 16:26:12.234375030,0-15
57,200769623,2020.0,1930715979.0,8299.7,66,3005,32,1,4,2020,1,4,2020,16,4,2020,1970-01-02 15:42:10.593750016,0-15
58,200799367,2020.0,1930673430.0,51602.13,66,1833,18,24,3,2020,24,3,2020,8,4,2020,1970-01-02 06:15:02.312500008,0-15
59,200759878,2020.0,1930783249.0,18900.99,66,2387,32,14,4,2020,14,4,2020,29,4,2020,1969-12-31 18:16:28.447265654,
60,200794332,2020.0,1930638145.0,49467.7,66,628,20,14,3,2020,14,3,2020,29,3,2020,1969-12-31 20:11:50.710937529,
61,200515231,2020.0,1930768145.0,10187.66,66,2911,18,9,4,2020,9,4,2020,24,4,2020,1970-01-03 23:22:33.468750024,0-15
62,200782669,2020.0,1930636977.0,237.4,66,2699,18,13,3,2020,13,3,2020,28,3,2020,1970-01-02 16:01:38.765625028,0-15
63,200769623,2020.0,1930882979.0,11532.84,66,3000,32,12,5,2020,12,5,2020,27,5,2020,1970-01-02 17:04:02.656250027,0-15
64,200769623,2020.0,1930692833.0,20017.92,66,2995,32,24,3,2020,24,3,2020,8,4,2020,1970-01-02 17:04:02.656250008,0-15
65,200331749,2020.0,1930579080.0,5320.85,66,2712,18,28,2,2020,28,2,2020,14,3,2020,1970-01-02 08:51:22.531250014,0-15
66,200772670,2020.0,1930819529.0,30900.83,66,184,46,23,4,2020,23,4,2020,8,5,2020,1970-01-02 05:28:31.546875008,0-15
67,200772670,2020.0,1930736164.0,65843.26,66,193,46,2,4,2020,2,4,2020,17,4,2020,1970-01-02 04:50:41.148437517,0-15
68,200706844,2020.0,1930599854.0,359.44,66,3065,18,4,3,2020,4,3,2020,19,3,2020,1970-01-09 05:06:09.875000019,0-15
69,100043975,2020.0,1930740345.0,1427.36,66,2919,18,3,4,2020,3,4,2020,18,4,2020,1970-01-08 13:59:22.125000018,0-15
70,200762301,2020.0,1930592552.0,99091.71,66,448,24,4,3,2020,4,3,2020,19,3,2020,1969-12-31 22:54:47.122558613,
71,200148860,2020.0,1930732920.0,6543.44,66,810,31,3,4,2020,3,4,2020,7,6,2020,1969-12-29 20:33:22.140625007,
72,100027744,2020.0,2960635652.0,4924.5,66,2053,7,19,5,2020,19,5,2020,19,5,2020,1970-01-05 17:07:06.312500019,0-15
73,100031704,2020.0,1930585468.0,106394.18,66,748,18,1,3,2020,1,3,2020,16,3,2020,1970-01-01 01:43:22.207519547,0-15
74,200799420,2020.0,1930703225.0,801.1,66,2919,18,25,3,2020,25,3,2020,9,4,2020,1970-01-05 04:46:26.781250009,0-15
75,200974851,2020.0,1930706997.0,3566.69,66,2321,18,26,3,2020,26,3,2020,10,4,2020,1970-01-02 07:47:44.328125010,0-15
76,200769623,2020.0,1930830709.0,8885.57,66,3001,32,28,4,2020,28,4,2020,13,5,2020,1970-01-02 17:04:02.656250013,0-15
77,200793568,2020.0,1930630388.0,15893.27,66,2659,18,10,3,2020,10,3,2020,25,3,2020,1970-01-02 16:01:38.765625025,0-15
78,200759878,2020.0,1930609945.0,70180.8,66,2390,32,6,3,2020,6,3,2020,21,3,2020,1969-12-31 17:38:38.033203146,
79,200712187,2020.0,1930806222.0,119384.36,66,2604,18,20,4,2020,20,4,2020,5,5,2020,1970-01-02 17:45:08.875000005,0-15
80,100047532,2020.0,1930592834.0,11852.54,66,2919,18,4,3,2020,4,3,2020,19,3,2020,1970-01-08 13:59:22.125000019,0-15
81,200794332,2020.0,1930562584.0,11225.42,66,627,15,28,2,2020,28,2,2020,19,3,2020,1969-12-31 23:03:13.933105489,
82,200148860,2020.0,1930699340.0,5456.75,66,810,31,25,3,2020,25,3,2020,29,5,2020,1969-12-29 20:33:22.140625029,
83,200794332,2020.0,1930862420.0,81500.86,66,632,20,8,5,2020,8,5,2020,23,5,2020,1969-12-31 20:11:50.710937523,
84,200555117,2020.0,1930709963.0,749.14,66,394,18,27,3,2020,27,3,2020,11,4,2020,1970-01-01 16:27:59.734375011,0-15
85,200769623,2020.0,1930878284.0,2219.89,66,3001,32,9,5,2020,9,5,2020,24,5,2020,1970-01-02 17:04:02.656250024,0-15
